Link,Unnamed: 0,has_been_scraped,Question,Category,Outcomes,Outcomes.1,Prices,Prices.1,24h Volume,Total Volume,Liquidity,Open Interest,Trades,End Date,Resolved,Whales,LPs,Trades.1,Name,ID
https://polymarketwhales.info/transactions?market=0x6a9af7458babc781dccc8411e697b3e3c2f3035a&page=1,3316,,Will the Jazz or the Clippers win their February 19th matchup?,Sports,Jazz,Clippers,1,0,$0,$0,0,$0,0,Fri Feb 19 2021,True,Whales,LPs,Trades,Will the Jazz or the Clippers win their February 19th matchup?,0x6a9af7458babc781dccc8411e697b3e3c2f3035a
https://polymarketwhales.info/transactions?market=0x7c24078b8b4258aaa2b18a0afe40d121dea3c587&page=1,3315,,Will Ukraine or North Macedonia win their Euro 2020 match?,Sports,Ukraine,North Macedonia,1,0,$0,$0,0,$0,0,Thu Jun 17 2021,True,Whales,LPs,Trades,Will Ukraine or North Macedonia win their Euro 2020 match?,0x7c24078b8b4258aaa2b18a0afe40d121dea3c587
https://polymarketwhales.info/transactions?market=0x421745fc58890a2c2ccb45d643acb446ab49951a&page=1,1871,,Will Hockney’s “Self-Portrait on the Terrace” sell for more than $12 million at Sotheby’s?,Art,Yes,No,0,1,$0,"$4,666",0,$0,5,Wed May 12 2021,True,Whales,LPs,Trades,Will Hockney’s “Self-Portrait on the Terrace” sell for more than $12 million at Sotheby’s?,0x421745fc58890a2c2ccb45d643acb446ab49951a
https://polymarketwhales.info/transactions?market=0x6453044b2491b2cd68866645df12d35edf758913&page=1,3310,1.0,NBA: Will the Bulls beat the Raptors by more than 8.5 points in their December 22 matchup?,Sports,Yes,No,0.5,0.5,$0,$67,500,$505,5,Wed Dec 22 2021,True,Whales,LPs,Trades,NBA: Will the Bulls beat the Raptors by more than 8.5 points in their December 22 matchup?,0x6453044b2491b2cd68866645df12d35edf758913
https://polymarketwhales.info/transactions?market=0x2bbd610900e29ac3734a8b7dc6f95d37c41742da&page=1,3308,1.0,Will Hikaru Nakamura or Fabiano Caruana win in their FTX Crypto Cup preliminary game?,Chess,Nakamura,Caruana,0.5,0.5,$0,$105,1035,$0,8,Tue May 25 2021,True,Whales,LPs,Trades,Will Hikaru Nakamura or Fabiano Caruana win in their FTX Crypto Cup preliminary game?,0x2bbd610900e29ac3734a8b7dc6f95d37c41742da
https://polymarketwhales.info/transactions?market=0xf199db1c6a12db04d0aa04ffcbb603ec4d19efda&page=1,3243,1.0,Will Magnus Carlsen or Fabiano Caruana win in their FTX Crypto Cup preliminary game?,Chess,Carlsen,Caruana,0.5,0.5,$0,$378,1000,$0,8,Tue May 25 2021,True,Whales,LPs,Trades,Will Magnus Carlsen or Fabiano Caruana win in their FTX Crypto Cup preliminary game?,0xf199db1c6a12db04d0aa04ffcbb603ec4d19efda
https://polymarketwhales.info/transactions?market=0xdf3c821ba63916d37f851c092e321eacc4293152&page=1,2944,,Will Bitcoin or Ethereum perform better in January 2022?,Crypto,Bitcoin,Ethereum,1,0,$0,$994,29,"$2,396",14,Tue Feb 01 2022,True,Whales,LPs,Trades,Will Bitcoin or Ethereum perform better in January 2022?,0xdf3c821ba63916d37f851c092e321eacc4293152
https://polymarketwhales.info/transactions?market=0xeb9a009e1a86ec6707da6fa9ddbafb4bd181277c&page=1,3314,1.0,Who will win Canadiens v. Golden Knights: Semifinals Game 2?,Sports,Canadiens,Golden Knights,1,0,$0,$26,3,$3,14,Wed Jun 16 2021,True,Whales,LPs,Trades,Who will win Canadiens v. Golden Knights: Semifinals Game 2?,0xeb9a009e1a86ec6707da6fa9ddbafb4bd181277c
https://polymarketwhales.info/transactions?market=0x97254fb5f732c1bcb74d7cc413ec60fc4a227217&page=1,3295,1.0,UFC 270: Who will win Vieira vs. Turman?,Sports,Vieira,Turman,0.5,0.5,$0,$200,1010,$37,14,Sat Jan 22 2022,True,Whales,LPs,Trades,UFC 270: Who will win Vieira vs. Turman?,0x97254fb5f732c1bcb74d7cc413ec60fc4a227217
https://polymarketwhales.info/transactions?market=0x9394223dda94041d3871071d3f4ad92993a0aadb&page=1,3313,1.0,Will Sherrilyn Ifill be the next nominee for Supreme Court Justice?,US current affairs,Yes,No,0,1,$0,$26,115,"$1,474",16,Sat Dec 31 2022,True,Whales,LPs,Trades,Will Sherrilyn Ifill be the next nominee for Supreme Court Justice?,0x9394223dda94041d3871071d3f4ad92993a0aadb
https://polymarketwhales.info/transactions?market=0x59eafd8c4dc0cf423ba94107454a8ea7c086a36c&page=1,3253,1.0,Will “Jackass Forever” gross domestically more than $40 million on the opening weekend?,Pop Culture,Yes,No,0,1,$0,$358,420,"$5,601",16,Mon Feb 07 2022,True,Whales,LPs,Trades,Will “Jackass Forever” gross domestically more than $40 million on the opening weekend?,0x59eafd8c4dc0cf423ba94107454a8ea7c086a36c
https://polymarketwhales.info/transactions?market=0x67d9cddf34a90bbf70f01ed9ecf8ca20adadbd6f&page=1,3293,1.0,NHL: Will the Blue Jackets beat the Canadiens by more than 1.5 goals in their April 13 matchup (7 PM ET)?,Sports,Yes,No,1,0,$0,$211,150,$504,17,Wed Apr 13 2022,True,Whales,LPs,Trades,NHL: Will the Blue Jackets beat the Canadiens by more than 1.5 goals in their April 13 matchup (7 PM ET)?,0x67d9cddf34a90bbf70f01ed9ecf8ca20adadbd6f
https://polymarketwhales.info/transactions?market=0xfa358602f63ff069794595fbee98d4571d8da2c7&page=1,1001,,Will Khabib win his UFC 254 Fight?,Pop Culture,Yes,No,1,0,$0,"$17,497",0,$38,18,Sun Oct 25 2020,True,Whales,LPs,Trades,Will Khabib win his UFC 254 Fight?,0xfa358602f63ff069794595fbee98d4571d8da2c7
https://polymarketwhales.info/transactions?market=0xc7bc232eba515ac32e6c7bbe514de11de2ca2586&page=1,3205,1.0,Will President Biden mention China in his press conference on January 19 ?,US current affairs,Yes,No,1,0,$0,$478,25,$126,18,Wed Jan 19 2022,True,Whales,LPs,Trades,Will President Biden mention China in his press conference on January 19 ?,0xc7bc232eba515ac32e6c7bbe514de11de2ca2586
https://polymarketwhales.info/transactions?market=0x9d4ac46ede14000cf371c77ed5c3ff95a2c537a3&page=1,2963,1.0,Will the U-3 unemployment rate in January be above 3.4%?,Business,Yes,No,1,0,$0,$949,50,"$1,272",19,Fri Feb 04 2022,True,Whales,LPs,Trades,Will the U-3 unemployment rate in January be above 3.4%?,0x9d4ac46ede14000cf371c77ed5c3ff95a2c537a3
https://polymarketwhales.info/transactions?market=0x2884350f97d6cffd0c7591e73eeceff990f53488&page=1,3252,1.0,Will Cryptarbitrage win the CryptOG Charity Poker Tournament?,Poker,Yes,No,0,1,$0,$360,19,"$3,105",19,Thu Jul 29 2021,True,Whales,LPs,Trades,Will Cryptarbitrage win the CryptOG Charity Poker Tournament?,0x2884350f97d6cffd0c7591e73eeceff990f53488
https://polymarketwhales.info/transactions?market=0x698da5485aee039e7ee3cbabfd3b263a85a50dd4&page=1,3246,1.0,NBA: Will the sum of points in Spurs v. Pelicans be an even or an odd number?,Sports,Even,Odd,0,1,$0,$374,50,"$1,897",20,Sun Dec 12 2021,True,Whales,LPs,Trades,NBA: Will the sum of points in Spurs v. Pelicans be an even or an odd number?,0x698da5485aee039e7ee3cbabfd3b263a85a50dd4
https://polymarketwhales.info/transactions?market=0x66b3d50b0d4f753e78a2772a113f5c82e6fe60da&page=1,2797,1.0,What will the last digit of total points scored be in Bucks v. Hawks: Eastern Conference Finals Game 1?,NBA Playoffs,Long,Short,1,0,$0,"$1,279",0,$0,20,Wed Jun 23 2021,True,Whales,LPs,Trades,What will the last digit of total points scored be in Bucks v. Hawks: Eastern Conference Finals Game 1?,0x66b3d50b0d4f753e78a2772a113f5c82e6fe60da
https://polymarketwhales.info/transactions?market=0xc07e63004a98bdefa44eea6e6cd26951e1e69747&page=1,3249,1.0,Will Edward Hopper's “Two Puritans” (Lot 39C) sell for more than $15m at Christie’s on November 11?,Art,Yes,No,0,1,$0,$367,20,$84,20,Thu Nov 11 2021,True,Whales,LPs,Trades,Will Edward Hopper's “Two Puritans” (Lot 39C) sell for more than $15m at Christie’s on November 11?,0xc07e63004a98bdefa44eea6e6cd26951e1e69747
https://polymarketwhales.info/transactions?market=0x1e636d2d8edf5edd6570cc563896df0764b6f75f&page=1,3227,1.0,Will Gerhard Richter's “Abstraktes Bild” (Lot 27C) sell for more than $35m at Christie’s on November 11?,Art,Yes,No,0,1,$0,$428,20,$141,20,Thu Nov 11 2021,True,Whales,LPs,Trades,Will Gerhard Richter's “Abstraktes Bild” (Lot 27C) sell for more than $35m at Christie’s on November 11?,0x1e636d2d8edf5edd6570cc563896df0764b6f75f
https://polymarketwhales.info/transactions?market=0xcbe795cb5556976f37d9c622a93292aba6a6ebf3&page=1,3172,1.0,Will Alfred Sisley's “La Seine à Argenteuil” (Lot 5C) sell for more than $3m at Christie’s on November 11?,Art,Yes,No,0,1,$0,$543,20,$405,21,Thu Nov 11 2021,True,Whales,LPs,Trades,Will Alfred Sisley's “La Seine à Argenteuil” (Lot 5C) sell for more than $3m at Christie’s on November 11?,0xcbe795cb5556976f37d9c622a93292aba6a6ebf3
https://polymarketwhales.info/transactions?market=0xd47f75b64ec7c1063cb2711cb9eae546b7765eb4&page=1,3296,1.0,"NHL: Will the Canucks beat the Coyotes by more than 1.5 goals in their April 14, 10:00 PM ET matchup?",Sports,Yes,No,1,0,$10,$198,150,"$1,917",22,Thu Apr 14 2022,True,Whales,LPs,Trades,"NHL: Will the Canucks beat the Coyotes by more than 1.5 goals in their April 14, 10:00 PM ET matchup?",0xd47f75b64ec7c1063cb2711cb9eae546b7765eb4
https://polymarketwhales.info/transactions?market=0x7782ff984941682f7baf2599108eff86b6e6651d&page=1,3302,1.0,"NBA: Who will win the Bucks vs. Hornets, scheduled for February 28 (8 PM ET)?",Sports,Bucks,Hornets,1,0,$0,$161,175,"$4,020",22,Mon Feb 28 2022,True,Whales,LPs,Trades,"NBA: Who will win the Bucks vs. Hornets, scheduled for February 28 (8 PM ET)?",0x7782ff984941682f7baf2599108eff86b6e6651d
